81	1985	11	1918
80	1985	14	1928
77	2000	15	1918
78	2004	11	1918
79	1993	13	1981
76	1955	9	1884
79	1890	16	1884
80	1890	20	1970
78	1974	13	1970
80	1974	9	1982
80	1974	8	1982
76	1898	12	1981
78	1907	7	1981
78	1932	15	1893
77	1928	18	1988
80	1950	10	1994
76	1928	11	1977
76	1937	17	2005
75	1950	12	1994
75	1990	12	1985
78	1954	5	1985
78	1999	14	1970
80	1937	17	2003
80	1974	16	2005
79	1937	15	2003
78	1943	18	1940
78	1974	14	1982
79	1974	14	1940
78	2002	14	1897
79	2002	11	1934
82	1975	17	1966
79	2002	14	1936
80	1989	17	1980
82	1990	13	1917
81	1957	17	1996
80	1986	10	1886
81	1927	15	1886
75	1989	18	1978
77	1932	10	1895
77	1994	13	1934
77	1965	10	1934
78	1965	18	1912
78	1965	14	1899
78	1927	10	1899
78	1951	5	1899
79	2001	15	1916
80	1989	17	1905
81	1976	14	1958
80	1891	11	1958
78	1976	17	1958
81	1991	19	1896
77	1986	12	1896
78	2003	21	1896
80	1975	20	1963
81	1982	18	1901
81	1930	18	1967
83	1977	19	1967
82	1962	17	1963
85	1962	19	1934
81	1880	27	2008
83	1918	23	2002
85	1976	16	1980
88	1976	14	1980
84	1976	9	1980
84	1961	20	1873
84	1976	21	1960
87	1974	20	1960
89	1974	24	1920
89	1974	22	1996
88	1974	21	1932
82	1879	27	1960
87	1990	25	1916
87	1990	21	1998
87	1967	21	1926
88	1967	22	1993
85	2002	22	1890
85	1945	28	1981
84	1963	29	1967
84	1908	22	1876
84	1907	29	1923
88	1935	27	1885
87	1907	27	1956
94	1907	24	1888
87	1929	26	1885
83	1935	28	1983
81	1944	26	1940
85	2007	24	1955
90	1907	29	1955
92	1907	33	1966
88	1985	28	1887
87	1986	25	1964
87	1974	29	1923
91	1978	32	1923
91	1967	31	1992
87	2007	32	1879
88	1978	33	1987
88	1967	31	2004
95	1967	30	1982
89	1999	29	2007
89	2001	30	1972
89	2001	31	2007
88	1908	34	1997
92	1930	32	1989
89	2001	33	1976
91	1922	34	1973
92	2006	32	1907
90	2006	33	1963
89	2006	34	2009
93	1976	32	1875
89	1968	28	1875
91	1995	30	1983
93	2002	32	1983
93	2002	38	1983
93	1980	37	1986
93	1980	37	1982
90	1990	39	1875
93	1990	37	1888
94	1990	39	2001
90	1981	40	1993
92	1975	40	1993
92	1974	41	2006
94	1986	38	1876
91	1962	35	1963
94	1959	40	1981
92	1913	42	1986
92	1952	44	1997
95	1952	42	1920
93	1986	41	1989
92	2002	38	1989
95	1936	42	1956
96	1963	42	1977
97	1889	41	1997
96	1967	45	1969
95	2000	44	1917
94	1970	44	1917
96	1962	45	1880
94	1915	43	1878
92	1990	44	1984
94	1960	43	1875
96	1996	47	1976
94	2000	46	2002
94	1962	44	2002
95	1975	49	1981
96	1975	45	2002
94	1975	48	1931
94	1975	50	1967
98	1953	48	1877
96	1989	46	1925
97	1967	44	1961
96	1967	49	1926
96	1898	49	1926
98	1953	50	1996
100	1895	51	1984
99	2002	48	1983
100	1895	49	1983
98	1943	51	1988
100	1943	51	1997
97	1933	51	1921
98	2008	52	1878
99	2008	52	1998
101	2008	51	1997
99	1993	51	1913
99	1993	52	1913
98	1920	49	1972
98	2002	53	1972
99	1958	53	1904
100	1880	53	1959
97	1980	55	1961
98	1944	57	1961
100	1944	54	1895
98	1984	53	1959
99	1924	54	1879
101	1990	53	1879
98	1994	59	2003
100	1954	56	1947
97	1950	56	1972
101	1952	61	1979
102	1952	60	1979
104	1952	61	1955
100	1978	56	1988
101	1959	56	1981
100	1959	57	1962
98	1990	54	1919
97	1980	55	1988
97	1954	59	1918
100	1993	59	2007
100	1902	58	1933
100	1902	61	1988
102	1977	59	1988
100	1977	59	1972
102	1977	60	1984
100	1993	63	2009
99	1993	58	1890
103	1879	62	1963
100	1993	58	1918
98	1986	61	1918
99	1993	64	1940
98	1983	63	1926
100	1887	60	1946
102	1875	61	1987
101	1942	60	1987
99	1977	63	1910
100	1952	63	1929
101	1952	60	1965
99	1999	63	1890
98	1983	61	2007
99	1914	63	1876
98	1999	63	1895
100	1936	60	1920
102	1936	58	1920
101	1993	62	1924
100	1999	61	1914
99	1999	60	1914
103	1999	61	1997
99	1878	62	1966
99	1980	64	1919
99	1954	62	1985
102	1954	60	1912
99	1968	61	2004
99	1968	55	2004
98	2007	59	2004
99	1979	60	1997
98	2007	60	1879
97	2009	61	1879
97	1980	61	1974
99	1995	62	1962
101	1925	61	1983
